experiment,molecule,rotation_precision,condition,baseline_condition,code_distance,baseline_code_distance,runtime_change_pct,code_distance_change_pct,physical_runtime_change_pct,qubit_volume_change_pct,physical_minus_beat_percentage_points
reaction_time,H4,1e-02,100,1,15,13,685.5713407554128,15.384615384615374,806.4284701023995,496.95026729011727,120.85712934698665
reaction_time,H5,1e-05,10,1,15,15,191.33719174232,0.0,191.33719174232,165.23208428769993,0.0
reaction_time,H5,1e-05,100,1,17,15,2105.099253589635,13.33333333333333,2399.1124874015863,1821.9934108406203,294.0132338119515
reaction_time,H5,1e-02,10,1,13,13,42.690001987237515,0.0,42.690001987237515,32.04805522526271,0.0
reaction_time,H5,1e-02,100,1,15,13,472.0326679767714,15.384615384615374,560.0376938193516,354.6009948273356,88.00502584258021
reaction_time,H6,1e-05,10,1,17,15,190.03319282650355,13.33333333333333,228.70428520337072,166.33011632186546,38.671092376867165
reaction_time,H6,1e-05,100,1,19,15,2090.625878167686,26.66666666666666,2674.792779012402,1834.2090243581144,584.1669008447161
reaction_time,H6,1e-02,10,1,15,15,18.930531241583616,0.0,18.930531241583616,14.209621090437619,0.0
reaction_time,H6,1e-02,100,1,15,15,211.26658025855102,0.0,211.26658025855102,158.51992723897953,0.0
reaction_time,H7,1e-05,10,1,17,17,188.84936370706856,0.0,188.84936370706856,168.29360874992975,0.0
reaction_time,H7,1e-05,100,1,19,17,2077.454569022848,11.764705882352944,2333.6256947902416,1853.2787900404621,256.17112576739373
reaction_time,H7,1e-02,10,1,15,15,13.415043326355791,0.0,13.415043326355791,10.3015128244486,0.0
reaction_time,H7,1e-02,100,1,15,15,148.66730597304092,0.0,148.66730597304092,114.15519764143616,0.0
